hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0301-1,,HITACHI,BELGIUM,Antwerp,Khalifa port,ANE MAERSK,85462000,SEK,67900.53
HVDC-ADOPT-HE-0301-2,,HITACHI,BELGIUM,Antwerp,Khalifa port,ALETTE MAERSK,85462000,SEK,67900.53
HVDC-ADOPT-HE-0302,,HITACHI,SWEDEN,Malmoe,Abu Dhabi Airport,EK4657,85371098,SEK,566635.0
HVDC-ADOPT-HE-0303,,HITACHI,Italy,Venice,Khalifa port,MSC LUCIANA,85353090,SEK,1220152.0
HVDC-ADOPT-HE-0304,,HITACHI,Italy,Venice,Khalifa port,MSC LUCIANA,85353090,SEK,1220152.0
HVDC-ADOPT-HE-0305,,HITACHI,Italy,Venice,Khalifa port,MSC LUCIANA,85353090,SEK,793768.6
HVDC-ADOPT-HE-0306,,HITACHI,Italy,Venice,Khalifa port,MSC LUCIANA,85353090,SEK,793768.6
HVDC-ADOPT-HE-0307,,HITACHI,SWEDEN,Malmoe,Abu Dhabi Airport,EK9316,85401098,SEK,1133270.0
HVDC-ADOPT-HE-0308,,HITACHI,BELGIUM,Antwerp,Khalifa port,ANE MAERSK,85049090,SEK,18570.41
HVDC-ADOPT-HE-0309-1,,HITACHI,BELGIUM,Antwerp,Khalifa port,ANE MAERSK,85049090,SEK,17916.46
HVDC-ADOPT-HE-0309-2,,HITACHI,BELGIUM,Antwerp,Khalifa port,ALETTE MAERSK,85049090,SEK,17916.46
HVDC-ADOPT-HE-0310-1,,HITACHI,BELGIUM,Antwerp,Khalifa port,ANE MAERSK,85049090,SEK,15834.13
HVDC-ADOPT-HE-0310-2,,HITACHI,BELGIUM,Antwerp,Khalifa port,ALETTE MAERSK,85049090,SEK,15834.13
HVDC-ADOPT-HE-0311-1,,HITACHI,BELGIUM,Antwerp,Khalifa port,ANE MAERSK,85049090,SEK,15857.62
